frac_year,tcwv
2016.623833114754,52.9
2016.6238900273224,53.5
2016.6239469398906,54.1
2016.6240038797814,54.2
2016.6240607923498,54.6
2016.624117704918,56.4
2016.6241746448088,56.1
2016.624231557377,55.1
2016.6242884699454,55.2
2016.624345409836,54.5
2016.6244023224044,54.4
2016.6244592349726,54.4
2016.6245161748634,54.9
2016.6245730874316,54.8
2016.62463,54.4
2016.6246869398908,54.4
2016.624743852459,54.1
2016.6248007650274,53.6
2016.624857704918,54.2
2016.6249146174864,54.8
2016.6249715300546,55.1
2016.6250284699454,55.8
2016.6250853825136,56.0
2016.625142295082,57.4
2016.6251992349726,58.4
2016.625256147541,56.8
2016.6253130601092,56.1
2016.62537,57.6
2016.6254269125684,57.5
2016.6254838251366,57.3
2016.6255407650274,57.6
2016.6255976775956,57.1
2016.625654590164,56.7
2016.6257115300546,56.4
2016.625768442623,55.5
2016.6258253551912,56.0
2016.625882295082,57.2
2016.6259392076502,57.6
2016.6259961202186,58.2
2016.6260530601094,57.3
2016.6261099726776,56.0
2016.626166885246,56.2
2016.6262238251365,56.4
2016.626280737705,56.9
2016.6263376502732,57.5
2016.626394590164,57.1
2016.6264515027322,56.5
2016.6265084153006,56.9
2016.6265653551914,56.8
2016.6266222677596,56.6
2016.6266791803278,56.0
2016.6267361202185,55.3
2016.626793032787,55.5
2016.6268499453552,55.2
2016.626906885246,55.0
2016.6269637978141,55.5
2016.6270207103826,55.7
2016.6270776502731,55.5
2016.6271345628415,55.1
2016.6271914754097,54.9
2016.6272484153005,56.4
2016.627305327869,57.3
2016.6273622404372,57.3
2016.627419180328,57.3
2016.6274760928961,56.6
2016.6275330054646,57.0
2016.627589945355,56.5
2016.6276468579235,55.9
2016.6277037704917,56.4
2016.6277607103825,55.8
2016.6278176229507,56.0
2016.6278745355191,55.9
2016.62793147541,54.9
2016.6279883879781,54.3
2016.6280453005465,53.3
2016.628102240437,52.8
2016.6281591530055,52.6
2016.6282160655737,52.9
2016.6282730054645,52.7
2016.6283299180327,52.7
2016.6283868306011,53.0
2016.628443770492,53.0
2016.62850068306,52.7
2016.6285575956283,52.4
2016.628614535519,53.0
2016.6286714480875,53.5
2016.6287283606557,54.2
2016.6287853005465,54.8
2016.6288422131147,55.0
2016.6288991256831,54.6
2016.6289560655737,53.8
2016.629012978142,53.7
2016.6290698907103,53.8
2016.629126830601,53.9
2016.6291837431695,54.3
2016.6292406557377,54.2
2016.6292975956285,54.0
2016.6293545081967,54.3
2016.629411420765,54.5
2016.6294683606557,55.0
2016.629525273224,55.2
2016.6295821857923,54.7
2016.629639125683,54.4
2016.6296960382513,53.8
2016.6297529508197,53.2
2016.6298098907105,53.5
2016.6298668032787,53.6
2016.629923715847,53.4
2016.6299806557377,54.5
2016.630037568306,54.9
2016.6300944808743,54.5
2016.630151420765,54.8
2016.6302083333333,54.3
2016.6302652459017,54.5
2016.6303221857922,54.2
2016.6303790983607,54.0
2016.6304360109289,53.4
2016.6304929508196,54.5
2016.630549863388,55.7
2016.6306067759563,54.4
2016.630663715847,54.6
2016.6307206284152,54.7
2016.6307775409837,54.2
2016.6308344808742,53.9
2016.6308913934427,53.2
2016.6309483060109,53.5
2016.6310052459016,54.0
2016.63106215847,54.0
2016.6311190710383,54.3
2016.631176010929,54.1
2016.6312329234972,54.0
2016.6312898360657,53.9
2016.6313467759562,53.8
2016.6314036885246,54.0
2016.6314606010928,54.2
2016.6315175409836,54.2
2016.6315744535518,54.4
2016.6316313661202,54.4
2016.631688306011,54.3
2016.6317452185792,54.3
2016.6318021311477,53.4
2016.6318590710382,52.8
2016.6319159836066,52.9
2016.6319728961748,52.7
2016.6320298360656,52.5
2016.6320867486338,52.4
2016.6321436612022,52.1
2016.6322006010928,52.4
2016.6322575136612,52.3
2016.6323144262294,52.1
2016.6323713661202,52.0
2016.6324282786886,51.5
2016.6324851912568,51.9
2016.6325421311476,51.4
2016.6325990437158,50.5
2016.6326559562842,50.2
2016.6327128961748,50.8
2016.6327698087432,51.4
2016.6328267213114,51.3
2016.6328836612022,51.9
2016.6329405737704,51.9
2016.6329974863388,51.7
2016.6330544262296,52.2
2016.6331113387978,52.3
2016.6331682513662,52.6
2016.6332251912568,52.8
2016.6332821038252,53.5
2016.6333390163934,55.1
2016.6333959562842,55.6
2016.6334528688524,55.6
2016.6335097814208,56.0
2016.6335667213116,56.7
2016.6336236338798,57.0
2016.633680546448,58.1
2016.6337374863388,58.6
2016.6337943989072,58.7
2016.6338513114754,59.8
2016.6339082513662,60.0
2016.6339651639344,59.8
2016.6340220765028,59.5
2016.6340790163933,58.9
2016.6341359289618,58.1
2016.63419284153,57.4
2016.6342497814207,57.0
2016.6343066939892,57.0
2016.6343636065574,57.7
2016.6344205464482,57.3
2016.6344774590164,57.0
2016.6345343715848,57.0
2016.6345913114753,56.8
2016.6346482240438,57.3
2016.634705136612,57.4
2016.6347620765027,57.4
2016.634818989071,57.2
2016.6348759016394,56.7
2016.6349328415301,56.8
2016.6349897540983,56.8
2016.6350466666668,57.0
2016.6351036065573,57.3
2016.6351605191257,57.5
2016.635217431694,58.1
2016.6352743715847,58.0
2016.635331284153,56.7
2016.6353881967214,56.2
2016.6354451366121,57.5
2016.6355020491803,58.3
2016.6355589617485,58.5
2016.6356159016393,59.2
2016.6356728142077,59.5
2016.635729726776,59.5
2016.6357866666667,59.3
2016.635843579235,59.5
2016.6359004918033,60.6
2016.635957431694,61.0
2016.6360143442623,61.2
2016.6360712568305,60.6
2016.6361281967213,60.4
2016.6361851092897,61.0
2016.636242021858,60.8
2016.6362989617487,61.2
2016.636355874317,60.5
2016.6364127868853,60.6
2016.6364697267759,61.2
2016.6365266393443,61.1
2016.6365835519125,61.1
2016.6366404918033,61.5
2016.6366974043715,60.9
2016.63675431694,60.9
2016.6368112568307,61.4
2016.636868169399,60.7
2016.6369250819673,60.0
2016.6369820218579,59.1
2016.6370389344263,59.1
2016.6370958469945,59.3
2016.6371527868853,58.2
2016.6372096994535,58.1
2016.637266612022,58.4
2016.6373235519125,58.2
2016.6373804644809,58.1
2016.637437377049,57.8
2016.6374943169399,57.8
2016.6375512295083,57.6
2016.6376081420765,57.1
2016.6376650819673,56.9
2016.6377219945355,56.9
2016.637778907104,57.0
2016.6378358469944,56.7
2016.6378927595629,56.8
2016.637949672131,57.3
2016.6380066120219,56.4
2016.63806352459,55.9
2016.6381204371585,56.1
2016.6381773770493,56.5
2016.6382342896175,56.9
2016.6382912021859,57.0
2016.6383481420764,56.8
2016.6384050546449,57.0
2016.638461967213,57.4
2016.6385189071038,56.7
2016.638575819672,56.3
2016.6386327322405,57.2
2016.6386896721312,57.5
2016.6387465846994,57.5
2016.6388034972679,56.9
2016.6388604371584,57.0
2016.6389173497269,57.6
2016.638974262295,57.3
2016.6390312021858,57.6
2016.639088114754,57.3
2016.6391450273225,56.9
2016.639201967213,56.3
2016.6392588797814,55.9
2016.6393157923496,56.0
2016.6393727322404,54.8
2016.6394296448088,54.5
2016.639486557377,54.5
2016.6395434972678,54.4
2016.639600409836,54.9
2016.6396573224044,55.3
2016.639714262295,55.3
2016.6397711748634,55.0
2016.6398280874316,54.8
2016.6398850273224,54.2
2016.6399419398906,54.2
2016.639998852459,54.6
2016.6400557923498,54.9
2016.640112704918,54.9
2016.6401696174864,54.8
2016.640226557377,55.0
2016.6402834699454,54.9
2016.6403403825136,54.7
2016.6403973224044,54.9
2016.6404542349726,55.7
2016.640511147541,56.0
2016.6405680874318,55.7
2016.640625,56.2
2016.6406819125682,56.2
2016.640738852459,55.6
2016.6407957650274,55.4
2016.6408526775956,55.2
2016.6409096174864,56.2
2016.6409665300546,57.4
2016.641023442623,57.6
2016.6410803825136,56.9
2016.641137295082,56.7
2016.6411942076502,57.9
2016.641251147541,58.2
2016.6413080601094,57.6
2016.6413649726776,57.3
2016.6414219125684,57.6
2016.6414788251366,57.7
2016.641535737705,57.5
2016.6415926775956,58.4
2016.641649590164,58.9
2016.6417065027322,58.5
2016.641763442623,58.7
2016.6418203551912,58.3
2016.6418772677596,58.7
2016.6419342076504,58.4
2016.6419911202186,57.5
2016.642048032787,57.6
2016.6421049726775,57.6
2016.642161885246,58.5
2016.6422187978142,58.4
2016.642275737705,58.7
2016.6423326502731,59.1
2016.6423895628416,58.8
2016.6424465027321,57.6
2016.6425034153006,57.8
2016.6425603278688,56.5
2016.6426172677595,51.4
2016.642674180328,50.6
2016.6427310928962,50.5
2016.642788032787,51.1
2016.6428449453551,52.4
2016.6429018579236,53.1
2016.6429587978141,54.2
2016.6430157103825,54.7
2016.6430726229507,55.7
2016.6431295628415,56.4
2016.64318647541,55.9
2016.6432433879781,56.2
2016.643300327869,56.5
2016.6433572404371,56.9
2016.6434141530056,55.9
2016.643471092896,53.6
2016.6435280054645,52.8
2016.6435849180327,53.8
2016.6436418579235,54.7
2016.6436987704917,54.4
2016.6437556830601,54.4
2016.643812622951,53.3
2016.6438695355191,53.4
2016.6439264480875,53.4
2016.643983387978,53.4
2016.6440403005465,54.3
2016.6440972131147,53.7
2016.6441541530055,53.8
2016.6442110655737,54.0
2016.6442679781421,53.6
2016.6443249180327,54.5
2016.644381830601,54.4
2016.6444387431693,53.6
2016.64449568306,53.2
2016.6445525956285,53.4
2016.6446095081967,54.9
2016.6446664480875,55.5
2016.6447233606557,55.1
2016.6447802732241,55.2
2016.6448372131147,55.2
2016.644894125683,55.0
2016.6449510382513,55.1
2016.645007978142,54.8
2016.6450648907103,54.2
2016.6451218032787,54.2
2016.6451787431695,53.9
2016.6452356557377,55.0
2016.645292568306,54.5
2016.6453495081967,54.0
2016.645406420765,55.8
2016.6454633333333,54.8
2016.645520273224,53.3
2016.6455771857923,54.0
2016.6456340983607,55.1
2016.6456910382515,54.9
2016.6457479508197,53.3
2016.6458048633879,52.4
2016.6458618032786,52.2
2016.645918715847,52.8
2016.6459756284153,52.8
2016.646032568306,52.1
2016.6460894808743,53.2
2016.6461463934427,53.3
2016.6462033333332,52.2
2016.6462602459017,53.0
2016.6463171584699,52.9
2016.6463740983606,52.5
2016.646431010929,53.1
2016.6464879234973,53.2
2016.646544863388,53.3
2016.6466017759562,54.5
2016.6466586885247,54.1
2016.6467156284152,53.4
2016.6467725409836,54.3
2016.6468294535518,53.9
2016.6468863934426,54.2
2016.6469433060108,54.4
2016.6470002185793,54.6
2016.64705715847,55.0
2016.6471140710382,55.0
2016.6471709836067,55.8
2016.6472279234972,55.6
2016.6472848360656,55.3
2016.6473417486338,55.6
2016.6473986885246,55.4
2016.6474556010928,55.7
2016.6475125136612,56.2
2016.647569453552,56.1
2016.6476263661202,55.8
2016.6476832786884,55.7
2016.6477402185792,56.1
2016.6477971311476,56.1
2016.6478540437158,55.9
2016.6479109836066,55.8
2016.6479678961748,55.9
2016.6480248087432,55.5
2016.6480817486338,55.6
2016.6481386612022,55.5
2016.6481955737704,55.3
2016.6482525136612,55.7
2016.6483094262296,55.1
2016.6483663387978,54.8
2016.6484232786886,55.3
2016.6484801912568,55.4
2016.6485371038252,55.0
2016.6485940437158,55.5
2016.6486509562842,56.2
2016.6487078688524,55.7
2016.6487648087432,56.0
2016.6488217213114,55.5
2016.6488786338798,56.2
2016.6489355737706,57.4
2016.6489924863388,56.3
2016.6490493989072,57.6
2016.6491063387978,58.0
2016.6491632513662,57.5
2016.6492201639344,58.6
2016.6492771038252,59.0
2016.6493340163934,59.3
2016.6493909289618,59.9
2016.6494478688523,59.2
2016.6495047814208,59.6
2016.649561693989,60.2
2016.6496186338798,60.0
2016.6496755464482,59.9
2016.6497324590164,59.7
2016.6497893989072,59.7
2016.6498463114754,59.3
2016.6499032240438,59.6
2016.6499601639343,59.0
2016.6500170765028,59.1
2016.650073989071,59.9
2016.6501309289617,59.7
2016.65018784153,59.6
2016.6502447540984,59.9
2016.6503016939891,59.5
2016.6503586065573,59.7
2016.6504155191258,60.1
2016.6504724590163,60.1
2016.6505293715848,60.3
2016.650586284153,59.8
2016.6506432240437,59.9
2016.650700136612,60.2
2016.6507570491804,60.2
2016.6508139890711,60.3
2016.6508709016393,60.2
2016.6509278142078,59.7
2016.6509847540983,59.6
2016.6510416666667,59.4
2016.651098579235,59.6
2016.6511555191257,59.5
2016.651212431694,59.4
2016.6512693442623,59.4
2016.651326284153,59.3
2016.6513831967213,59.5
2016.6514401092895,59.4
2016.6514970491803,59.2
2016.6515539617487,58.9
2016.651610874317,58.9
2016.6516678142077,58.5
2016.651724726776,57.8
2016.6517816393443,58.8
2016.651838579235,58.9
2016.6518954918033,58.4
2016.6519524043715,58.8
2016.6520093442623,58.7
2016.6520662568305,58.7
2016.652123169399,58.3
2016.6521801092897,57.8
2016.652237021858,57.9
2016.6522939344263,57.5
2016.6523508743169,57.7
2016.6524077868853,57.7
2016.6524646994535,57.6
2016.6525216393443,57.5
2016.6525785519125,57.4
2016.652635464481,58.3
2016.6526924043717,57.7
2016.65274931694,57.4
2016.652806229508,57.1
2016.6528631693989,56.9
2016.6529200819673,57.2
2016.6529769945355,56.2
2016.6530339344263,55.8
2016.6530908469945,56.2
2016.653147759563,56.4
2016.6532046994535,57.0
2016.6532616120219,57.2
2016.65331852459,57.4
2016.6533754644809,57.5
2016.6534323770493,57.2
2016.6534892896175,57.1
2016.6535462295083,56.8
2016.6536031420765,56.4
2016.653660054645,57.0
2016.6537169945354,57.4
2016.6537739071039,56.7
2016.653830819672,56.6
2016.6538877595628,56.6
2016.653944672131,56.8
2016.6540015846995,56.6
2016.6540585245903,56.7
2016.6541154371585,56.1
2016.6541723497269,55.8
2016.6542292896174,55.3
2016.6542862021859,54.2
2016.654343114754,55.2
2016.6544000546448,54.3
2016.654456967213,52.7
2016.6545138797815,53.4
2016.6545708196722,53.6
2016.6546277322404,52.6
2016.6546846448086,52.8
2016.6547415846994,52.2
2016.6547984972678,51.9
2016.654855409836,52.6
2016.6549123497268,52.4
2016.654969262295,52.3
2016.6550261748635,52.2
2016.655083114754,52.6
2016.6551400273224,52.4
2016.6551969398906,52.0
2016.6552538797814,51.8
2016.6553107923498,51.7
2016.655367704918,52.2
2016.6554246448088,51.8
2016.655481557377,51.8
2016.6555384699454,51.4
2016.655595409836,51.3
2016.6556523224044,51.9
2016.6557092349726,51.4
2016.6557661748634,51.1
2016.6558230874316,50.7
2016.65588,50.7
2016.6559369398908,50.9
2016.655993852459,50.8
2016.6560507650274,50.9
2016.656107704918,50.8
2016.6561646174864,50.6
2016.6562215300546,50.7
2016.6562784699454,50.4
2016.6563353825136,49.9
2016.656392295082,50.2
2016.6564492349726,50.2
2016.656506147541,49.8
2016.6565630601092,49.9
2016.65662,50.0
2016.6566769125684,49.9
2016.6567338251366,50.0
2016.6567907650274,50.4
2016.6568476775956,50.5
2016.656904590164,50.4
2016.6569615300546,50.4
2016.657018442623,50.4
2016.6570753551912,50.3
2016.657132295082,49.7
2016.6571892076502,50.2
2016.6572461202186,50.9
2016.6573030601094,50.7
2016.6573599726776,50.9
2016.657416885246,50.8
2016.6574738251365,51.0
